,author,title,source,date,target
26,By Gabrielle Settles ,"Instagram’s ""precise location"" feature can be used by criminals to target victims.",Instagram posts," August 30, 2022",false
27,By Sara Swann ,Moderna’s lawsuits against Pfizer-BioNTech shows COVID-19 vaccines were in the works before the pandemic started.,Instagram posts," August 30, 2022",false
28,By Andy Nguyen ,"Image claims to show a list of ""Republican members of Congress whose PPP loans were forgiven.""",Instagram posts," August 30, 2022",true
29,By Lyle Muller ,“$1.5 billion of your taxpayer money is sitting in an account” that can be used for other purposes.,Deidre DeJear," August 29, 2022",barely-true
30,By Yacob Reyes ,"Sarasota, Florida, teachers told they cannot purchase books, accept donated reading materials, order from Scholastic or hold book fairs.",Facebook posts," August 29, 2022",half-true
31,By Ciara O'Rourke ,“Nearly half of pregnant women in Pfizer trial miscarried.”,Viral image," August 29, 2022",false
32,By Amy Sherman ,The Supreme Court will put Donald Trump back in office in October,Facebook posts," August 29, 2022",pants-fire
33,By Vanessa Swales ,Says Democratic Senate candidate Mandela Barnes “supports abolishing ICE.”,National Republican Senatorial Committee," August 29, 2022",barely-true
34,By Madison Czopek ,"Screenshots show that conservative political commentator Ben Shapiro received more than $20,000 in Paycheck Protection Program loan forgiveness.",Facebook posts," August 26, 2022",false
35,By Ciara O'Rourke ,"""If your body's pH is alkaline, you cannot get cancer. And if you have cancer, it goes away.""",Viral image," August 26, 2022",false
36,By Michael Majchrowicz ,"""Monkeypox is a complete, fake sham” that’s “designed to force lockdowns, mandates and shots.”",Facebook posts," August 26, 2022",pants-fire
37,By Ciara O'Rourke ,Video shows Tucker Carlson speechless in interview with a guest.,Viral image," August 26, 2022",false
38,By Gabrielle Settles ,"The COVID-19 pandemic was planned, and a 2019 simulation called Event 201 was a rehearsal for it.",Pitbull," August 26, 2022",false
39,By Yacob Reyes ,"Charlie Crist ""supported Biden's agenda to defund the police.""",Republican Party of Florida," August 26, 2022",false
40,By Ciara O'Rourke ,“U.S. is testing new most deadly nuclear bomb from B-1B Lancer.”,Facebook posts," August 26, 2022",false
41,By Ciara O'Rourke ,Half of the votes for Joe Biden in the 2020 presidential election “are from dead people.”,Viral image," August 26, 2022",pants-fire
42,By Tom Kertscher ,Blake Masters “wants to pass a national ban on abortion.”,Mark Kelly," August 26, 2022",mostly-true
43,By Andy Nguyen ,"The deaths of U.S. Rep. Jackie Walorski, R-Ind., and actor Anne Heche are suspicious and linked because they “partnered fighting against pedophilia.”",Facebook posts," August 26, 2022",false
44,By Tom Kertscher ,On privatizing Social Security.,Blake Masters," August 25, 2022",half-flip
45,By Andy Nguyen ,Image shows Trump is representing himself in a lawsuit against the United States government related to the FBI search of his Florida home.,Tweets," August 25, 2022",false
46,By D.L. Davis ,"""Last year the IRS audited Americans earning less than $25,000 a year at five times the rate of other groups.""",Ron Johnson," August 25, 2022",mostly-true
47,By Ciara O'Rourke ,“US Army in Ukraine.”,Facebook posts," August 24, 2022",false
48,By Ciara O'Rourke ,An image shows a chyron on Tucker Carlson’s show that said “straight men turning homo after ‘gay hypnosis.’”,Viral image," August 24, 2022",pants-fire
49,By Ciara O'Rourke ,“Marjorie Taylor Greene was raided by Joe Biden’s DOJ last night.”,Instagram posts," August 24, 2022",false
50,By Sara Swann ,"In England, “COVID-19 vaccinated children are 4,423% more likely to die of any cause and 13,633% more likely to die of COVID-19 than unvaccinated children.”",Bloggers," August 24, 2022",false
51,By Louis Jacobson ,"""Adjusted for inflation, over the last 25 years teachers have made a $29 increase in their salary.""",Miguel Cardona," August 24, 2022",half-true
52,By Louis Jacobson ,The American Rescue Plan “helped create nearly 10 million new jobs.”,Joe Biden," August 24, 2022",barely-true
53,By Yacob Reyes ,"Image shows ""Florida's anti-woke banned book list.""",Viral image," August 24, 2022",false
54,By Madison Czopek ,A New England Journal of Medicine study found that vaccinated people are “5X more contagious than the unvaccinated 10 days after SARS-CoV-2 infection.”,Facebook posts," August 24, 2022",false
55,By Warren Fiske ,"A new Democratic law “will make the IRS workforce larger than the Pentagon, FBI, State Department, and Customs and Border Patrol, combined.”",Ben Cline," August 24, 2022",barely-true
56,By Michael Majchrowicz ,"""Biden is adding more IRS agents to investigate your taxes than we have detectives investigating every crime in the country.”",Instagram posts," August 23, 2022",false
57,By Paul Specht ,"“Violent crime (is) at an all-time high.""",Ben Kral," August 23, 2022",false
58,By Tom Kertscher ,"The Inflation Reduction Act ""doubles the size of the IRS, raises your taxes and spends billions on a green energy slush fund.""",Tom Cotton," August 23, 2022",barely-true
59,By Andy Nguyen ,Quotes Sarah Palin as saying “when Jesus celebrated Easter with his disciples there were no Easter bunnies or egg hunts.”,Facebook posts," August 23, 2022",pants-fire
60,By Sara Swann ,“Congress just voted to exempt themselves from IRS auditing of their personal finances.”,Instagram posts," August 23, 2022",false
61,By Andy Nguyen ,Video claims Google Street View shows Antarctica with green vegetation and brick buildings.,Facebook posts," August 23, 2022",false
62,By Gabrielle Settles ,“Free health allowance is available at no cost.”,Facebook posts," August 22, 2022",false
63,By Ciara O'Rourke ,"“People born before 1957 are getting $1,728 added to their Social Security checks.”",Facebook posts," August 19, 2022",false
64,By Madison Czopek ,“96% of U.S. climate data is corrupted.”,Facebook posts," August 19, 2022",false
65,By Andy Nguyen ,Video implies talk between Barack Obama and Kamala Harris has coded references to pedophilia.,Facebook posts," August 19, 2022",pants-fire
66,By Ciara O'Rourke ,The Inflation Reduction Act expanded free health insurance to Americans under 65.,Facebook posts," August 19, 2022",false
67,By Ciara O'Rourke ,COVID-19 vaccines are responsible for the health problems featured in recent news reports.,Viral image," August 19, 2022",false
68,By Ciara O'Rourke ,“Tulsi Gabbard Venmos Nancy Pelosi $600.01 forcing the IRS to audit Pelosi’s finances.”,Viral image," August 19, 2022",false
69,By Yacob Reyes ,"""We also know (the Sierra Club) paid for those reporters"" at the Palm Beach Post.",Nikki Fried," August 19, 2022",pants-fire
70,By Ciara O'Rourke ,"Video shows Steve Bannon crying, “Trump is going to jail.”",Facebook posts," August 19, 2022",false
71,By Ciara O'Rourke ,Photos show “an IRS agent training class.”,Facebook posts," August 19, 2022",false
72,By Ciara O'Rourke ,Photo shows parents who changed their baby’s gender identity.,Viral image," August 19, 2022",pants-fire
73,By Maria Ramirez Uribe ,"“El congreso acaba de aprobar un reciente proyecto de ley para todos los que tengan más de $10,000 de deuda”.",Facebook posts," August 19, 2022",false
74,By Laura Schulte ,Says Republican U.S. Sen. Ron Johnson “called climate change ‘bull----’ during a record heatwave” and “raked in over $700k in fossil fuel cash.”,League of Conservation Voters," August 19, 2022",true
75,By Gabrielle Settles ,Amazon is “running a promotion and giving away random packages for just $1!”,Facebook posts," August 18, 2022",false
76,By Ciara O'Rourke ,Video shows Mitch McConnell saying Nancy Pelosi “should be jailed!”,Facebook posts," August 18, 2022",false
77,By Jeff Cercone ,"""The IRS is about to double in size, with 87,000 new armed agents and an additional $80 billion in order to primarily enhance IRS enforcement and operations.”",Facebook posts," August 18, 2022",barely-true
78,By Ciara O'Rourke ,“Ted Cruz erupts as FBI director tries to defend Biden over Mar-a-Lago raid” in video.,Facebook posts," August 18, 2022",false
79,By Jeff Cercone ,Video shows former President Barack Obama sharing how to mislead the public.,TikTok posts," August 18, 2022",false
80,By Vanessa Swales ,"""With three months remaining in the Fiscal Year, (the border patrol) has already encountered more illegal immigrants along the Southwest border"" than in any previous fiscal year.",Glenn Grothman," August 18, 2022",mostly-true
81,By Maria Ramirez Uribe ,"The IRS is adding 87,000 new agents, making the IRS “larger than (the) Pentagon, Federal Bureau of Investigation, Customs and Border Protection and the State Department combined.”",Rick Scott," August 17, 2022",barely-true
82,By Ciara O'Rourke ,Leaked messages “between former President Barack Obama and Judge Reinhart foreshadowed the unlawful raid on former Trump’s Mar-a-Lago estate.”,Viral image," August 17, 2022",false
83,By Jon Greenberg ,"“The Congressional Budget Office says 90% of the revenue generated from the new IRS agents will come from people making less than $200,000 … and the revenue generated will be $300-plus billion.”",Tim Scott," August 17, 2022",false
84,By Ciara O'Rourke ,There’s polio in New York City’s tap water.,Viral image," August 17, 2022",false
85,By Warren Fiske ,"“Democrats are voting to add an army of 87,000 IRS agents who will target middle class taxpayers and conduct at least 1 million more audits each year. ”",Bob Good," August 17, 2022",barely-true
86,By Ciara O'Rourke ,Video shows Congress voting for a highly classified “Homeland Terrorism Preparedness Bill.”,Viral image," August 17, 2022",pants-fire
87,By Ciara O'Rourke ,Rep. Adam Kinzinger “admits Trump won” the 2020 presidential election.,Facebook posts," August 17, 2022",false
88,By Ciara O'Rourke ,Anne Heche was murdered by the illuminati because she was working on a movie about Jeffrey Epstein.,Instagram posts," August 16, 2022",false
89,By D.L. Davis ,"""We are number one in the country as far as our spending (COVID-19 relief) money on businesses as it relates to the percentage of federal funds that we receive.""",Tony Evers," August 16, 2022",half-true
90,By Amy Sherman ,"""Send your postcards to 5 key states to decertify fraud” in the 2020 election.",Facebook posts," August 16, 2022",pants-fire
91,By Madison Czopek ,"Reuters reported that “White House employee Andrew Bates did use Nazi symbolism in a recent tweet.""",Facebook posts," August 16, 2022",false
92,By Ciara O'Rourke ,"The COVID-19 vaccine caused Ashton Kutcher to lose “vision, hearing and ability to walk.”",Viral image," August 16, 2022",false
93,By Gabrielle Settles ,Empty store shelves at a Walmart in South Carolina were because of a meat shortage.,Facebook posts," August 16, 2022",false
94,By Andy Nguyen ,"“Liz Cheney cries like kids after loses in ‘primary’ against Trump’s pick,” two days before the primary election.",Facebook posts," August 16, 2022",pants-fire
95,By Ciara O'Rourke ,“They put” monkeypox in the water in Atlanta.,Viral image," August 15, 2022",false
96,By Ciara O'Rourke ,"Donald Trump Jr. tweeted, “While my father loves almost all his supporters, please do not come to Mar-a-Lago to support President Trump. We have many important people coming through the club and need to keep it clean.”",Viral image," August 15, 2022",false
97,By Yacob Reyes ,Video shows Ron DeSantis arguing with Sean Hannity,Tweets," August 15, 2022",false
98,By Andy Nguyen ,"""Bill Gates and AOC say that a cow emits more pollution than a car.""",Facebook posts," August 15, 2022",false
99,By Tom Kertscher ,"""Brian Kemp wants to investigate and punish women for having miscarriages.""",Stacey Abrams," August 12, 2022",false
100,By Yacob Reyes ,"""Boston Children’s Hospital is now offering 'gender-affirming hysterectomies' for young girls.""",Tweets," August 12, 2022",false
101,By D.L. Davis ,On endorsing former President Donald Trump in 2024,Tim Michels," August 12, 2022",half-flip
102,By Tom Kertscher ,"""Adam Laxalt fought an investigation into the oil industry, then they funded his campaign.""",Catherine Cortez Masto," August 12, 2022",half-true
103,By Jon Greenberg ,"""President Barack Hussein Obama kept 33 million pages of documents, much of them classified. How many of them pertained to nuclear? Word is, lots!""",Donald Trump," August 12, 2022",pants-fire
104,By Jeff Cercone ,The government is arming up the IRS because “Joe Biden is raising taxes and disarming Americans.”,Matt Gaetz," August 12, 2022",false
105,By Ciara O'Rourke ,A photo shows Ghislaine Maxwell and Bruce Reinhart.,Viral image," August 12, 2022",false
106,By Alan Hovorka ,"""Governor Tony Evers gave counties the green light to defund Wisconsin's police departments.""",Republican Governors Association," August 12, 2022",barely-true
107,By Jon Greenberg ,"“Democrats' new army of 87,000 IRS agents will be coming for you — with 710,000 new audits for Americans who earn less than $75k.”",Kevin McCarthy," August 11, 2022",barely-true
108,By Ciara O'Rourke ,"“Pennsylvania sent out 1,823,148 mail-in ballots. They got back 2,589,242.”",Viral image," August 11, 2022",false
109,By Jeff Cercone ,"A ""Delta Force” seized a shipment of weapons headed to the IRS.",TikTok posts," August 11, 2022",pants-fire
110,By Warren Fiske ,“Abigail Spanberger still votes with and shares Joe Biden’s positions 100% of the time.”,Yesli Vega," August 11, 2022",mostly-true
111,By Andy Nguyen ,Electric cars in California are not sustainable as only 10% of their batteries are recyclable and the state can’t recycle them.,Instagram posts," August 11, 2022",false
112,By Amy Sherman ,On taking the Fifth Amendment,Donald Trump," August 10, 2022",half-flip
113,By Nuria Diaz Muñoz ,"""Urgente! China confirma la invasión de Los Ángeles y Baja California! Prepararon 1000 destructores!""",Facebook posts," August 10, 2022",false
114,By Yacob Reyes ,"""They are literally chopping off the private parts of young kids.""",Ron DeSantis," August 10, 2022",barely-true
115,By Madison Czopek ,"Former President Donald Trump asked “for troops around the Capitol to make sure everyone is safe,” on Jan. 6, 2021, but was “turned down by the Democrats.”",Facebook posts," August 10, 2022",false
116,By Andy Nguyen ,Video shows Clark County poll worker acting illegally by asking people to place their ballots into a bag outside of a drop box.,Facebook posts," August 10, 2022",false
117,By Ciara O'Rourke ,Photo shows electric cars that were bought for civil servants in France and then abandoned because “it was too expensive to replace the batteries.”,Viral image," August 10, 2022",false
118,By Paul Specht ,“North Carolina is among some of the top states in the country for the number of ghost guns that are seized as crime guns.”,Michael Easley Jr.," August 9, 2022",mostly-true
119,By Ciara O'Rourke ,“Ted Cruz leaks new document obtained from Hunter’s laptop implicating Nancy Pelosi.”,Facebook posts," August 9, 2022",false
120,By Nuria Diaz Muñoz ,"""Urgente! China prepara un ataque nuclear desde el espacio! Nueva York en alerta roja!""",Facebook posts," August 9, 2022",false
121,By Nusaiba Mizan ,"""Under Abbott, Texas leads the nation in rape offenses while the rate of arrests for rape has fallen by nearly half.""",Beto O'Rourke," August 9, 2022",mostly-true
122,By Jeff Cercone ,Brittney Griner is really a man.,Facebook posts," August 9, 2022",pants-fire
123,By Julie Appleby ,"About a federal hospital price transparency requirement, “Nobody’s enforcing that law.”",Power to the Patients," August 9, 2022",half-true
124,By Kelly Smits ,“We have more oil and gas permits than ever before right now.”,Mandela Barnes," August 9, 2022",mostly-true
125,By Sara Swann ,"Photo shows a “massive” crowd at a Trump rally in Wisconsin on Aug. 5, 2022.",Viral image," August 8, 2022",false
126,By Louis Jacobson ,Overturning Roe v. Wade was an “unconstitutional action by” the Supreme Court.,Karine Jean-Pierre," August 8, 2022",false
127,By Monique Curet ,There is documentation of bull sharks in the Great Lakes.,Instagram posts," August 5, 2022",false
128,By Louis Jacobson ,The Senate Democrats’ reconciliation bill “will strip $300 billion from Medicare.”,American Prosperity Alliance," August 5, 2022",false
129,By Maria Ramirez Uribe ,“Biden wants to give illegals ID cards so they can start collecting American benefits.”,Tomi Lahren," August 5, 2022",false
130,By Grace Abels ,"Consuming “rice and beans, milk, cheese, butter and eggs” causes disease by age 30.",Facebook posts," August 5, 2022",pants-fire
131,By Monique Curet ,Suggests root canals are linked to breast cancer.,Instagram posts," August 5, 2022",false
132,By Andy Nguyen ,"""Congratulations to the IRS on winning the $846.3 million Mega Millions Jackpot.”",Facebook posts," August 5, 2022",false
133,By Madeline Heim ,“Tim Michels pushed for years to raise (Wisconsin’s) gas tax.”,Rebecca Kleefisch," August 5, 2022",barely-true
134,By Madison Czopek ,The CDC has classified monkeypox as an airborne form of herpes that can lead to paralysis.,Facebook posts," August 5, 2022",false
135,By Jeff Cercone ,"""AirPods are essentially microwaving your brain.”",Instagram posts," August 4, 2022",false
136,By Julie Rovner ,"“In no way, shape, or form is access to contraception limited or at risk of being limited.”",Kat Cammack," August 4, 2022",false
137,By Nuria Diaz Muñoz ,Una ballena se traga a dos mujeres en California.,Facebook posts," August 3, 2022",false
138,By Louis Jacobson ,"A Democratic bill negotiated between Sens. Joe Manchin and Chuck Schumer would ""increase taxes on millions of Americans across every income bracket.""",Adam Laxalt," August 3, 2022",half-true
139,By Andy Nguyen ,"Nancy Pelosi and Democrats ""want to turn 150 million Americans into felons overnight"" with HR 1808.",Instagram posts," August 3, 2022",false
140,By Tom Kertscher ,"John Fetterman wants to “eliminate life sentences for murderers.""",Mehmet Oz," August 3, 2022",barely-true
141,By Grace Abels ,"""The Sun is out of place, the Moon is out of place and the stars are out of place. The compasses are off"" because of a shift in the Earth’s poles.",Facebook posts," August 3, 2022",pants-fire
142,By Gabrielle Settles ,"Synthetic cyanide-based B12 is a ""toxic ingredient in your kids vitamins.""",Facebook posts," August 2, 2022",false
143,By Monique Curet ,“China threatens to shoot Nancy Pelosi’s plane down if she visits Taiwan.”,Instagram posts," August 2, 2022",false
144,By D.L. Davis ,"""There is absolutely no reason why Wisconsin should be facing a worker shortage to the level we are when there are 123,000 more able-bodied childless adults on BadgerCare since the pandemic.""",Rebecca Kleefisch," August 2, 2022",barely-true
145,By Amy Sherman ,Pens provided by Maricopa County are part of a plot to rig the Arizona primary.,Tweets," August 1, 2022",false
146,By Jon Greenberg ,Sen. Mark Kelly “voted to legalize abortion up until the moment of birth.”,Blake Masters," August 1, 2022",barely-true
147,By Andy Nguyen ,The Atlantic published a story titled “Quiet Courage of Biden’s Negative Growth Economy”,Viral image," August 1, 2022",false
148,By Warren Fiske ,“Abigail Spanberger is raking in thousands from defund the police groups because she supports defunding the police.”,National Republican Congressional Committee," August 1, 2022",false
149,By Nina Baker ,The Democrats’ Women’s Health Protection Act of 2022 “would permit abortion up until delivery.”,Mariannette Miller-Meeks," August 1, 2022",barely-true
150,By Maria Ramirez Uribe ,"""Karrin Taylor Robson gave illegals tuition discounts and made us pay for it.""",Kari Lake," August 1, 2022",half-true
151,By Yacob Reyes ,"You can't pour water on flames from an electric car battery because “water makes lithium burn.""",Facebook posts," July 29, 2022",false
152,By Monique Curet ,“Know what they always find in Alzheimer’s patients? Excessive aluminum in the brain. Know what makes your body hoard aluminum? Fluoride.”,Facebook posts," July 29, 2022",false
153,By Grace Abels ,"A cure for cancer, known as a Rife machine, was found in 1934.",Viral image," July 29, 2022",false
154,By Gabrielle Settles ,Baby carrots are soaked in bleach and can cause cancer.,Facebook posts," July 29, 2022",false
155,By Kristin Hugo ,"In its July “red alert” for extreme heat, the U.K.'s Met Office warned that high temperatures could cause blood clotting.",Facebook posts," July 29, 2022",false
156,By Andy Nguyen ,"""A Jackson, Tennessee, employee passed out this morning from handling a dollar bill with fentanyl on it.""",Facebook posts," July 29, 2022",false
157,By Madison Czopek ,"“‘Monkeypox’ is only circulating in countries where the Pfizer vaccine has been distributed and is being used to advance a Technocratic Great Reset.""",Facebook posts," July 29, 2022",false
158,By Monique Curet ,"“Three doctors from the same hospital ‘die suddenly’ in the same week,” after the hospital mandated a fourth COVID-19 vaccine for employees.",The Gateway Pundit," July 29, 2022",false
159,By Yacob Reyes ,"Dr. Birx ""changes tune on"" COVID-19 vaccines and ""admits vaccines don't work.""",Facebook posts," July 29, 2022",false
160,By Amy Sherman ,"In 2020, “250,000 ballots were manufactured” in Georgia and “Biden was given win” by Secretary of State Brad Raffensperger",The Gateway Pundit," July 29, 2022",pants-fire
161,By Madeline Heim ,“The legislature has long maintained that the law never allowed these illegal drop boxes.”,Robin Vos," July 29, 2022",barely-true
162,By Louis Jacobson ,"""We've cut the deficit by a record $1.5 trillion this year.""",Janet Yellen," July 28, 2022",half-true
163,By Grace Abels ,NASA photos of the moon and Earth show that “space is fake.”,Viral image," July 28, 2022",pants-fire
164,By Tom Kertscher ,Raphael Warnock and Catherine Cortez Masto “voted to allow hundreds of millions of dollars of COVID relief funds to be squandered” on leisure projects.,One Nation," July 28, 2022",half-true
165,By Jill Terreri Ramos ,The entire banking system in Canada is closing down.,Facebook posts," July 28, 2022",false
166,By Grace Abels ,A “small area” in western Texas and southeastern New Mexico “has enough oil to fuel America for the next 200 years.”,Viral image," July 28, 2022",false
167,By Andy Nguyen ,"""Plankton in the Atlantic Ocean is 90% gone.""",Instagram posts," July 27, 2022",false
168,By Jeff Cercone ,Jane Goodall’s comments about population growth at World Economic Forum show COVID-19 pandemic was planned.,Instagram posts," July 27, 2022",pants-fire
169,By Jeff Cercone ,Germany weather maps show media exaggerating effects of climate change.,Facebook posts," July 27, 2022",false
170,By Tom Kertscher ,"Instead of fighting opioid addiction, a nonprofit founded by J.D. Vance paid his “top political adviser” and funded “political polling.”",Tim Ryan," July 27, 2022",mostly-true
171,By Louis Jacobson ,‘The White House is now trying to protect Joe Biden by changing the definition of the word recession.',Instagram posts," July 27, 2022",false
172,By Monique Curet ,"""To date, nobody has been able to show that there is a law for the average American citizen working day in and day out to pay an income tax.""",Facebook posts," July 26, 2022",pants-fire
173,By Yacob Reyes ,"Val Demings ""called abolishing the police 'thoughtful.'""",Marco Rubio," July 26, 2022",false
174,By Kristin Hugo ,"""The emissions generated by watching 30 minutes of Netflix is the same as driving almost 4 miles.”",Facebook posts," July 26, 2022",false
175,By Alan Hovorka ,"""In the Wisconsin State Assembly this session, more than 75% of GOP bills received a public hearing. Meanwhile, the GOP allowed less than 2% of Democratic bills to have a hearing.""",Francesca Hong," July 26, 2022",true
176,By Andy Nguyen ,“Supreme Court FINALLY signs VERDICT to IMPEACH Speaker Pelosi as Hunter’s Laptop IMPLICATES her.”,Facebook posts," July 26, 2022",pants-fire
177,By Luiz Romero ,"Antarctica has “an entrance to a different world” — a “mythic land” with green forests, giant animals, and “extraterrestrial technologies.”",Instagram posts," July 26, 2022",pants-fire
178,By Paul Specht ,"""North Carolina GOP is re-introducing a bill that says life begins at conception and anyone who destroys that fertilized egg is guilty of first-degree murder.""",Qasim Rashid," July 25, 2022",barely-true
179,By Colleen DeGuzman ,Sen. Joe Manchin and AARP “support government price-setting schemes” to divert money from Medicare to “unrelated government programs or pad big insurers’ profits.”,American Commitment," July 25, 2022",false
180,By Ciara O'Rourke ,"Jim Jordan said, “It’s finally happening! Adam Schiff will be impeached.”",Facebook posts," July 22, 2022",pants-fire
181,By Amy Sherman ,Ranked choice voting in Alaska is a “total rigged deal.”,Donald Trump," July 22, 2022",pants-fire
182,By Yacob Reyes ,"Ron DeSantis ""opposes any background checks on guns, even for violent criminals.""",Charlie Crist," July 22, 2022",barely-true
183,By Ellie Borst ,"""If every person on earth just recycled, stopped using plastic straws, and drove an electric car, 100 corporations would still produce 70% of total global emissions.""",Instagram posts," July 22, 2022",false
184,By Ciara O'Rourke ,“Jill Biden makes stunning admission after” President Joe Biden tested positive for COVID-19.,Facebook posts," July 22, 2022",false
185,By Ciara O'Rourke ,George Floyd and COVID-19 “never existed.”,Viral image," July 22, 2022",pants-fire
186,By Ciara O'Rourke ,The New York Times reported on a conservative activist’s “superdiarrhea.”,Viral image," July 22, 2022",false
187,By Louis Jacobson ,"Democrats, including President Joe Biden, “stopped domestic drilling” for oil, driving gasoline prices higher.",Herschel Walker," July 22, 2022",false
188,By Warren Fiske ,“Virginia now has the most liberal abortion laws in the world.”,Dave LaRock," July 22, 2022",barely-true
189,By Jeff Cercone ,Tennessee court rules “taxpayer-funded establishments can place signs that say ‘No Jews allowed.’”,Instagram posts," July 22, 2022",false
190,By Madison Czopek ,“The gunman at Greenwood Park Mall was a CIA asset.”,Facebook posts," July 21, 2022",false
191,By Ciara O'Rourke ,A Texas farmer was “arrested for using illegal immigrants for free labor by pretending to be Joe Biden.”,Viral image," July 21, 2022",false
192,By Ciara O'Rourke ,Video shows Joe Biden sleeping at the Arab Conference in Saudi Arabia.,Instagram posts," July 21, 2022",false
193,By Nusaiba Mizan ,"""38,000 Texans had their license to carry denied, revoked, or suspended over the last five years because law enforcement deemed them too dangerous to carry a loaded gun in public. But thanks to Greg Abbott's new law, they don't need a license to carry anymore.""",Beto O'Rourke," July 21, 2022",barely-true
194,By Bill McCarthy ,An image shows Rep. Marjorie Taylor Greene in front of a cross with a figurine of former President Donald Trump on it.,TikTok posts," July 21, 2022",false
195,By Ciara O'Rourke ,"Donald Trump gave a speech in Prescott Valley, Arizona, on July 18, 2022.",Facebook posts," July 21, 2022",false
196,By Ciara O'Rourke ,“Biden threatens to assassinate Ukraine president.”,Facebook posts," July 21, 2022",pants-fire
197,By Tom Kertscher ,“John Fetterman wants to release one-third of dangerous criminals back into our communities.”,Mehmet Oz," July 21, 2022",barely-true
198,By Kelly Smits ,“My company was building the Keystone Pipeline when (President Joe) Biden canceled it.”,Tim Michels," July 21, 2022",mostly-true
199,By Andy Nguyen ,Ukraine President Volodymyr Zelenskyy makes $11 million a month and has a net worth of $596 million.,Facebook posts," July 21, 2022",false
200,By Kelly Smits ,"The cancellation of the Keystone XL pipeline by Joe Biden “killed hundreds of jobs, sent gas prices way up.”",Tim Michels," July 21, 2022",barely-true
