,Unnamed: 0,author,title,source,date,target
134,134,By Madison Czopek ,the cdc ha classified monkeypox airborne form herpes that can lead paralysis,Facebook posts," August 5, 2022",false
135,135,By Jeff Cercone ,airpods are essentially microwaving your brain,Instagram posts," August 4, 2022",false
136,136,By Julie Rovner ,way shape form access contraception limited risk being limited,Kat Cammack," August 4, 2022",false
137,137,By Nuria Diaz Muñoz ,una ballena traga do mujeres california,Facebook posts," August 3, 2022",false
138,138,By Louis Jacobson ,democratic bill negotiated between sen joe manchin and chuck schumer would increase tax million american across every income bracket,Adam Laxalt," August 3, 2022",half-true
139,139,By Andy Nguyen ,nancy pelosi and democrat want turn million american into felon overnight with,Instagram posts," August 3, 2022",false
140,140,By Tom Kertscher ,john fetterman want eliminate life sentence for murderer,Mehmet Oz," August 3, 2022",barely-true
141,141,By Grace Abels ,the sun out place the moon out place and the star are out place the compass are off because shift the earth pole,Facebook posts," August 3, 2022",pants-fire
142,142,By Gabrielle Settles ,synthetic cyanide based toxic ingredient your kid vitamin,Facebook posts," August 2, 2022",false
143,143,By Monique Curet ,china threatens shoot nancy pelosi plane down she visit taiwan,Instagram posts," August 2, 2022",false
144,144,By D.L. Davis ,there absolutely reason why wisconsin should facing worker shortage the level are when there are more able bodied childless adult badgercare since the pandemic,Rebecca Kleefisch," August 2, 2022",barely-true
145,145,By Amy Sherman ,pen provided maricopa county are part plot rig the arizona primary,Tweets," August 1, 2022",false
146,146,By Jon Greenberg ,sen mark kelly voted legalize abortion until the moment birth,Blake Masters," August 1, 2022",barely-true
147,147,By Andy Nguyen ,the atlantic published story titled quiet courage biden negative growth economy,Viral image," August 1, 2022",false
148,148,By Warren Fiske ,abigail spanberger raking thousand from defund the police group because she support defunding the police,National Republican Congressional Committee," August 1, 2022",false
149,149,By Nina Baker ,the democrat woman health protection act would permit abortion until delivery,Mariannette Miller-Meeks," August 1, 2022",barely-true
150,150,By Maria Ramirez Uribe ,karrin taylor robson gave illegals tuition discount and made pay for,Kari Lake," August 1, 2022",half-true
151,151,By Yacob Reyes ,you can pour water flame from electric car battery because water make lithium burn,Facebook posts," July 29, 2022",false
152,152,By Monique Curet ,know what they always find alzheimer patient excessive aluminum the brain know what make your body hoard aluminum fluoride,Facebook posts," July 29, 2022",false
153,153,By Grace Abels ,cure for cancer known rife machine wa found,Viral image," July 29, 2022",false
154,154,By Gabrielle Settles ,baby carrot are soaked bleach and can cause cancer,Facebook posts," July 29, 2022",false
155,155,By Kristin Hugo ,it july red alert for extreme heat the met office warned that high temperature could cause blood clotting,Facebook posts," July 29, 2022",false
156,156,By Andy Nguyen ,jackson tennessee employee passed out this morning from handling dollar bill with fentanyl,Facebook posts," July 29, 2022",false
157,157,By Madison Czopek ,monkeypox only circulating country where the pfizer vaccine ha been distributed and being used advance technocratic great reset,Facebook posts," July 29, 2022",false
158,158,By Monique Curet ,three doctor from the same hospital die suddenly the same week after the hospital mandated fourth covid vaccine for employee,The Gateway Pundit," July 29, 2022",false
159,159,By Yacob Reyes ,birx change tune covid vaccine and admits vaccine don work,Facebook posts," July 29, 2022",false
160,160,By Amy Sherman ,ballot were manufactured georgia and biden wa given win secretary state brad raffensperger,The Gateway Pundit," July 29, 2022",pants-fire
161,161,By Madeline Heim ,the legislature ha long maintained that the law never allowed these illegal drop box,Robin Vos," July 29, 2022",barely-true
162,162,By Louis Jacobson ,cut the deficit record trillion this year,Janet Yellen," July 28, 2022",half-true
163,163,By Grace Abels ,nasa photo the moon and earth show that space fake,Viral image," July 28, 2022",pants-fire
164,164,By Tom Kertscher ,raphael warnock and catherine cortez masto voted allow hundred million dollar covid relief fund squandered leisure project,One Nation," July 28, 2022",half-true
165,165,By Jill Terreri Ramos ,the entire banking system canada closing down,Facebook posts," July 28, 2022",false
166,166,By Grace Abels ,small area western texas and southeastern new mexico ha enough oil fuel america for the next year,Viral image," July 28, 2022",false
167,167,By Andy Nguyen ,plankton the atlantic ocean gone,Instagram posts," July 27, 2022",false
168,168,By Jeff Cercone ,jane goodall comment about population growth world economic forum show covid pandemic wa planned,Instagram posts," July 27, 2022",pants-fire
169,169,By Jeff Cercone ,germany weather map show medium exaggerating effect climate change,Facebook posts," July 27, 2022",false
170,170,By Tom Kertscher ,instead fighting opioid addiction nonprofit founded vance paid his top political adviser and funded political polling,Tim Ryan," July 27, 2022",mostly-true
171,171,By Louis Jacobson ,the white house now trying protect joe biden changing the definition the word recession,Instagram posts," July 27, 2022",false
172,172,By Monique Curet ,date nobody ha been able show that there law for the average american citizen working day and day out pay income tax,Facebook posts," July 26, 2022",pants-fire
173,173,By Yacob Reyes ,val demings called abolishing the police thoughtful,Marco Rubio," July 26, 2022",false
174,174,By Kristin Hugo ,the emission generated watching minute netflix the same driving almost mile,Facebook posts," July 26, 2022",false
175,175,By Alan Hovorka ,the wisconsin state assembly this session more than gop bill received public hearing meanwhile the gop allowed le than democratic bill have hearing,Francesca Hong," July 26, 2022",true
176,176,By Andy Nguyen ,supreme court finally sign verdict impeach speaker pelosi hunter laptop implicates her,Facebook posts," July 26, 2022",pants-fire
177,177,By Luiz Romero ,antarctica ha entrance different world mythic land with green forest giant animal and extraterrestrial technology,Instagram posts," July 26, 2022",pants-fire
178,178,By Paul Specht ,north carolina gop introducing bill that say life begin conception and anyone who destroys that fertilized egg guilty first degree murder,Qasim Rashid," July 25, 2022",barely-true
179,179,By Colleen DeGuzman ,sen joe manchin and aarp support government price setting scheme divert money from medicare unrelated government program pad big insurer profit,American Commitment," July 25, 2022",false
180,180,By Ciara O'Rourke ,jim jordan said finally happening adam schiff will impeached,Facebook posts," July 22, 2022",pants-fire
181,181,By Amy Sherman ,ranked choice voting alaska total rigged deal,Donald Trump," July 22, 2022",pants-fire
182,182,By Yacob Reyes ,ron desantis opposes any background check gun even for violent criminal,Charlie Crist," July 22, 2022",barely-true
183,183,By Ellie Borst ,every person earth just recycled stopped using plastic straw and drove electric car corporation would still produce total global emission,Instagram posts," July 22, 2022",false
184,184,By Ciara O'Rourke ,jill biden make stunning admission after president joe biden tested positive for covid,Facebook posts," July 22, 2022",false
185,185,By Ciara O'Rourke ,george floyd and covid never existed,Viral image," July 22, 2022",pants-fire
186,186,By Ciara O'Rourke ,the new york time reported conservative activist superdiarrhea,Viral image," July 22, 2022",false
187,187,By Louis Jacobson ,democrat including president joe biden stopped domestic drilling for oil driving gasoline price higher,Herschel Walker," July 22, 2022",false
188,188,By Warren Fiske ,virginia now ha the most liberal abortion law the world,Dave LaRock," July 22, 2022",barely-true
189,189,By Jeff Cercone ,tennessee court rule taxpayer funded establishment can place sign that say jew allowed,Instagram posts," July 22, 2022",false
190,190,By Madison Czopek ,the gunman greenwood park mall wa cia asset,Facebook posts," July 21, 2022",false
191,191,By Ciara O'Rourke ,texas farmer wa arrested for using illegal immigrant for free labor pretending joe biden,Viral image," July 21, 2022",false
192,192,By Ciara O'Rourke ,video show joe biden sleeping the arab conference saudi arabia,Instagram posts," July 21, 2022",false
193,193,By Nusaiba Mizan ,texan had their license carry denied revoked suspended over the last five year because law enforcement deemed them too dangerous carry loaded gun public but thanks greg abbott new law they don need license carry anymore,Beto O'Rourke," July 21, 2022",barely-true
194,194,By Bill McCarthy ,image show rep marjorie taylor greene front cross with figurine former president donald trump,TikTok posts," July 21, 2022",false
195,195,By Ciara O'Rourke ,donald trump gave speech prescott valley arizona july,Facebook posts," July 21, 2022",false
196,196,By Ciara O'Rourke ,biden threatens assassinate ukraine president,Facebook posts," July 21, 2022",pants-fire
197,197,By Tom Kertscher ,john fetterman want release one third dangerous criminal back into our community,Mehmet Oz," July 21, 2022",barely-true
198,198,By Kelly Smits ,company wa building the keystone pipeline when president joe biden canceled,Tim Michels," July 21, 2022",mostly-true
199,199,By Andy Nguyen ,ukraine president volodymyr zelenskyy make million month and ha net worth million,Facebook posts," July 21, 2022",false
200,200,By Kelly Smits ,the cancellation the keystone pipeline joe biden killed hundred job sent gas price way,Tim Michels," July 21, 2022",barely-true
201,201,By Bill McCarthy ,rep alexandria ocasio cortez wa faking being arrested during abortion right protest outside the supreme court,Instagram posts," July 20, 2022",false
202,202,By Madison Czopek ,image plymouth rock prove sea level are not rising,Facebook posts," July 20, 2022",false
203,203,By Sam Knupp ,opponent cindy axne ha actively sought defund the police,Zach Nunn," July 20, 2022",false
204,204,By Andy Nguyen ,benadryl can used reduce swelling from rattlesnake bite,Facebook posts," July 20, 2022",false
205,205,By Alan Hovorka ,fifty four percent wisconsinite live child care desert,Sarah Godlewski," July 20, 2022",mostly-true
206,206,By Gabrielle Settles ,third grade reading score the usa help correctional institution predict how many bed they need the future,Instagram posts," July 20, 2022",pants-fire
207,207,By Bill McCarthy ,antifa wa already inside the capitol with floor plan dressed trump supporter jan proving the attack wa setup,Facebook posts," July 19, 2022",false
208,208,By Ciara O'Rourke ,photo show woman who wanted for impersonating nurse and kidnapping infant from local hospital,Viral image," July 19, 2022",false
209,209,By Nuria Diaz Muñoz ,mayo london time inform portada oms entreg millones vacunas contra viruela del mono estas provocaron sida los africanos,Facebook posts," July 19, 2022",false
210,210,By Madison Czopek ,drought lie designed limit farming reduce the food supply and ultimately control american,Facebook posts," July 19, 2022",pants-fire
211,211,By Ciara O'Rourke ,jim jordan told alexandria ocasio cortez you just dumb,Viral image," July 19, 2022",false
212,212,By Ciara O'Rourke ,video show ukrainian air defense sievierodonetsk shooting down helicopter,Viral image," July 19, 2022",false
213,213,By Ciara O'Rourke ,antarctica not continent,Viral image," July 19, 2022",false
214,214,By Ciara O'Rourke ,video show donald trump alabama rally july,Viral image," July 19, 2022",false
215,215,By Andy Nguyen ,cnn coverage ha evidence the single most egregious real time example electronic vote fraud,Facebook posts," July 19, 2022",pants-fire
216,216,By Ciara O'Rourke ,biden admits gas being done purpose and this ha been his plan all along,Instagram posts," July 18, 2022",false
217,217,By Ciara O'Rourke ,kelly missing after prison security verify escaped beneath facility,Instagram posts," July 18, 2022",false
218,218,By Andy Nguyen ,claim the james webb space telescope fakery they got for the mass,Facebook posts," July 18, 2022",pants-fire
219,219,By Ciara O'Rourke ,kfc giving away chicken bucket voucher customer who share facebook post before july,Facebook posts," July 18, 2022",false
220,220,By Laura Schulte ,thanks failed dem policy beer more expensive,Ron Johnson," July 18, 2022",half-true
221,221,By Tom Kertscher ,mehmet want make abortion crime pennsylvania,Planned Parenthood Votes," July 18, 2022",half-true
222,222,By Jill Terreri Ramos ,lee zeldin voted for abortion ban even when the mother health risk,Kathy Hochul," July 17, 2022",mostly-true
223,223,By Maria Ramirez Uribe ,year old became pregnant result rape and wa threatening her life then that not abortion,Catherine Glenn Foster," July 15, 2022",false
224,224,By Bill McCarthy ,image show all aboard the trump train truck crashed into bridge,Viral image," July 15, 2022",false
225,225,By Yacob Reyes ,video show biden giving the same exact speech month apart,Instagram posts," July 15, 2022",false
226,226,By Warren Fiske ,virginia actually protect same sex marriage,Glenn Youngkin," July 15, 2022",barely-true
227,227,By Bill McCarthy ,actor tom holland confirmed have died,Instagram posts," July 14, 2022",false
228,228,By Yacob Reyes ,sen marco rubio ha one the worst attendance record the senate,Val Demings," July 14, 2022",mostly-true
229,229,By Gabrielle Settles ,kenya pregnant woman can leave the house they absolutely have constructive right vote,Emily Compagno," July 14, 2022",pants-fire
230,230,By Nuria Diaz Muñoz ,pilotos protestan contra vacuna covid aeropuerto atlanta,Facebook posts," July 14, 2022",false
231,231,By D.L. Davis ,the wisconsin supreme court decision declaring ballot drop box illegal includes the presidential election,Donald Trump," July 14, 2022",pants-fire
232,232,By Nusaiba Mizan ,texas public high school graduation rate overall,Greg Abbott," July 14, 2022",true
233,233,By Ciara O'Rourke ,kevin mccarthy said nancy pelosi should prosecuted and jailed,Facebook posts," July 14, 2022",false
234,234,By Andy Nguyen ,adult over can receive additional spending for grocery and expense,Facebook posts," July 13, 2022",false
235,235,By Maria Ramirez Uribe ,rep mayra flores the first mexican born member congress,Lauren Boebert," July 13, 2022",false
236,236,By Louis Jacobson ,the average federal income tax paid the richest american you cop teacher firefighter union worker you probably pay two three time that,Joe Biden," July 13, 2022",false
